,:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,school_address,school_city,school_code,school_name,school_not_found,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
11,40,11608,27,5,BLOCKFACE,NYPD,New York City Police Department,BRONX,BRONX,,12 BRONX,Illegal Parking,2017-11-23T02:07:10.000,EAST 239 STREET,EAST 240 STREET,Commercial Overnight Parking,2017-11-23T10:07:10.000,Precinct,VAN CORTLANDT PARK EAST,10470,,,40.90039050898591,"{u'type': u'Point', u'coordinates': [-73.87073483827, 40.900390508986]}",Street/Sidewalk,-73.87073483826978,BRONX,Unspecified,2017-11-23T02:20:47.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,VAN CORTLANDT PARK EAST,,37763896,1019985,267341
12,24,24340,25,3,ADDRESS,NYPD,New York City Police Department,QUEENS,JAMAICA,,08 QUEENS,Blocked Driveway,2017-11-23T02:05:46.000,84 AVENUE,GOTHIC DRIVE,No Access,2017-11-23T10:05:46.000,Precinct,84-70 169 STREET,11432,,,40.71482792370824,"{u'type': u'Point', u'coordinates': [-73.795125804063, 40.714827923708]}",Street/Sidewalk,-73.79512580406269,QUEENS,Unspecified,,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,169 STREET,,37761517,1041045,199774
13,10,13094,12,4,INTERSECTION,TLC,Taxi and Limousine Commission,MANHATTAN,NEW YORK,,04 MANHATTAN,For Hire Vehicle Complaint,2017-11-23T02:05:40.000,,,Car Service Company Complaint,2017-12-07T02:05:40.000,N/A,,10036,WEST   46 STREET,11 AVENUE,40.76337543877809,"{u'type': u'Point', u'coordinates': [-73.996458704147, 40.763375438778]}",Street,-73.99645870414689,MANHATTAN,Unspecified,,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,,,37764287,985231,217395
14,11,13509,17,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,09 BROOKLYN,Noise - Residential,2017-11-23T02:04:53.000,NOSTRAND AVENUE,NEW YORK AVENUE,Banging/Pounding,2017-11-23T10:04:53.000,Precinct,388 MIDWOOD STREET,11225,,,40.66025685626258,"{u'type': u'Point', u'coordinates': [-73.94820255346, 40.660256856263]}",Residential Building/House,-73.94820255346015,BROOKLYN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,MIDWOOD STREET,,37760641,998621,179830
15,26,13510,61,2,INTERSECTION,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,17 BROOKLYN,Noise - Commercial,2017-11-23T02:03:08.000,,,Loud Music/Party,2017-11-23T10:03:08.000,Precinct,,11226,NOSTRAND AVENUE,CLARENDON ROAD,40.64324494202966,"{u'type': u'Point', u'coordinates': [-73.94875987068, 40.64324494203]}",Club/Bar/Restaurant,-73.94875987068023,BROOKLYN,Unspecified,2017-11-23T02:25:30.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,,,37761373,998470,173632
16,45,18184,21,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,13 BROOKLYN,Noise - Residential,2017-11-23T02:02:29.000,MERMAID AVENUE,SURF AVENUE,Banging/Pounding,2017-11-23T10:02:29.000,Precinct,2955 WEST 29 STREET,11224,,,40.57362629295864,"{u'type': u'Point', u'coordinates': [-73.995032512402, 40.573626292959]}",Residential Building/House,-73.99503251240156,BROOKLYN,Unspecified,2017-11-23T02:18:07.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,WEST 29 STREET,,37761199,985630,148264
17,46,24668,41,3,ADDRESS,NYPD,New York City Police Department,QUEENS,JAMAICA,,12 QUEENS,Noise - Residential,2017-11-23T02:01:42.000,TUSKEGEE AIRMEN WAY,107 AVENUE,Banging/Pounding,2017-11-23T10:01:42.000,Precinct,106-16 159 STREET,11433,,,40.69825134875468,"{u'type': u'Point', u'coordinates': [-73.796164888367, 40.698251348755]}",Residential Building/House,-73.79616488836692,QUEENS,Unspecified,2017-11-23T02:09:09.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,159 STREET,,37759846,1040771,193734
18,50,11723,70,4,ADDRESS,NYPD,New York City Police Department,MANHATTAN,NEW YORK,,03 MANHATTAN,Noise - Residential,2017-11-23T02:01:40.000,MADISON STREET,MONROE STREET,Loud Music/Party,2017-11-23T10:01:40.000,Precinct,72 GOUVERNEUR STREET,10002,,,40.71253330297719,"{u'type': u'Point', u'coordinates': [-73.983771521407, 40.712533302977]}",Residential Building/House,-73.98377152140677,MANHATTAN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,GOUVERNEUR STREET,,37760921,988749,198872
19,24,24340,25,3,ADDRESS,NYPD,New York City Police Department,QUEENS,JAMAICA,,08 QUEENS,Noise - Residential,2017-11-23T02:00:52.000,CEDARCROFT ROAD,BEND,Loud Music/Party,2017-11-23T10:00:52.000,Precinct,87-50 KINGSTON PLACE,11432,,,40.71252371804057,"{u'type': u'Point', u'coordinates': [-73.789812355268, 40.712523718041]}",Residential Building/House,-73.78981235526757,QUEENS,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,KINGSTON PLACE,,37759381,1042520,198938
20,23,12422,20,4,INTERSECTION,DOT,Department of Transportation,MANHATTAN,NEW YORK,,07 MANHATTAN,Street Condition,2017-11-23T02:00:45.000,,,Line/Marking - Faded,2017-12-23T02:00:45.000,N/A,,10025,WEST   98 STREET,AMSTERDAM AVENUE,40.795361330643246,"{u'type': u'Point', u'coordinates': [-73.969416817354, 40.795361330643]}",Street,-73.96941681735431,MANHATTAN,Unspecified,,The Department of Transportation requires 30 days to respond to this type of complaint.  Please note your Service Request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,,,37759097,992718,229050
21,8,13827,5,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,18 BROOKLYN,Noise - Residential,2017-11-23T02:00:33.000,SEAVIEW AVENUE,SKIDMORE AVENUE,Loud Music/Party,2017-11-23T10:00:33.000,Precinct,2065 ROCKAWAY PARKWAY,11236,,,40.63292600970984,"{u'type': u'Point', u'coordinates': [-73.88870143085, 40.63292600971]}",Residential Building/House,-73.88870143085038,BROOKLYN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,ROCKAWAY PARKWAY,,37759811,1015142,169888
22,40,11605,24,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,2017-11-23T02:36:34.000,07 BRONX,Noise - Residential,2017-11-23T02:00:17.000,EAST GUN HILL ROAD,EAST 211 STREET,Loud Music/Party,2017-11-23T10:00:17.000,Precinct,3530 DECATUR AVENUE,10467,,,40.8792856112555,"{u'type': u'Point', u'coordinates': [-73.872305515623, 40.879285611256]}",Residential Building/House,-73.87230551562281,BRONX,Unspecified,2017-11-23T02:36:21.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,DECATUR AVENUE,,37762909,1019562,259651
23,48,17615,16,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,08 BROOKLYN,Noise - Residential,2017-11-23T01:59:33.000,SCHENECTADY AVENUE,UTICA AVENUE,Loud Music/Party,2017-11-23T09:59:33.000,Precinct,1339 LINCOLN PLACE,11213,,,40.66981411972212,"{u'type': u'Point', u'coordinates': [-73.93224740472, 40.669814119722]}",Residential Building/House,-73.93224740472039,BROOKLYN,Unspecified,2017-11-23T02:21:00.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,LINCOLN PLACE,,37763812,1003045,183315
24,46,24671,41,3,ADDRESS,NYPD,New York City Police Department,QUEENS,JAMAICA,,12 QUEENS,Illegal Parking,2017-11-23T01:59:21.000,LINDEN BOULEVARD,115 AVENUE,Blocked Sidewalk,2017-11-23T09:59:21.000,Precinct,114-26 140 STREET,11436,,,40.68300532337024,"{u'type': u'Point', u'coordinates': [-73.803166582068, 40.68300532337]}",Street/Sidewalk,-73.8031665820678,QUEENS,Unspecified,2017-11-23T02:22:54.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,140 STREET,,37760511,1038842,188175
25,25,13827,61,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,17 BROOKLYN,Blocked Driveway,2017-11-23T01:59:07.000,AVENUE A,AVENUE B,Partial Access,2017-11-23T09:59:07.000,Precinct,648 EAST 91 STREET,11236,,,40.65098290225814,"{u'type': u'Point', u'coordinates': [-73.916633227831, 40.650982902258]}",Street/Sidewalk,-73.91663322783097,BROOKLYN,Unspecified,2017-11-23T02:33:29.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,EAST 91 STREET,,37762125,1007383,176458
26,5,14781,65,3,ADDRESS,NYPD,New York City Police Department,QUEENS,EAST ELMHURST,,03 QUEENS,Illegal Parking,2017-11-23T01:57:04.000,31 AVENUE,32 AVENUE,Commercial Overnight Parking,2017-11-23T09:57:04.000,Precinct,31-11 70 STREET,11370,,,40.757716553051644,"{u'type': u'Point', u'coordinates': [-73.897119813853, 40.757716553052]}",Street/Sidewalk,-73.8971198138533,QUEENS,Unspecified,2017-11-23T02:04:06.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,70 STREET,,37764186,1012752,215350
27,48,17615,16,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,08 BROOKLYN,Noise - Residential,2017-11-23T01:56:47.000,SCHENECTADY AVENUE,UTICA AVENUE,Loud Music/Party,2017-11-23T09:56:47.000,Precinct,1339 LINCOLN PLACE,11213,,,40.66981411972212,"{u'type': u'Point', u'coordinates': [-73.93224740472, 40.669814119722]}",Residential Building/House,-73.93224740472039,BROOKLYN,Unspecified,2017-11-23T02:20:55.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,LINCOLN PLACE,,37764268,1003045,183315
28,12,11270,43,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,,10 BRONX,Illegal Parking,2017-11-23T01:56:26.000,WILKINSON AVENUE,EAST 194 STREET,Blocked Sidewalk,2017-11-23T09:56:26.000,Precinct,2018 HOBART AVENUE,10461,,,40.85229049730036,"{u'type': u'Point', u'coordinates': [-73.830979704853, 40.8522904973]}",Street/Sidewalk,-73.83097970485343,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,HOBART AVENUE,,37760593,1031009,249835
29,43,10937,8,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,,02 BRONX,Noise - Residential,2017-11-23T01:53:41.000,EAST 165 STREET,EAST 166 STREET,Loud Music/Party,2017-11-23T09:53:41.000,Precinct,1022 REV J A POLITE AVENUE,10459,,,40.8241159157086,"{u'type': u'Point', u'coordinates': [-73.898856264526, 40.824115915709]}",Residential Building/House,-73.89885626452619,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,REV J A POLITE AVENUE,,37761415,1012243,239541
30,,,,,,NYPD,NYPD,Unspecified,,,0 Unspecified,Blocked Driveway,2017-11-23T01:53:34.000,,,No Access,2017-11-23T09:53:34.000,,94-49-94-9 115TH STREET,,,,,,Street/Sidewalk,,Unspecified,Unspecified,,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unassigned,115TH STREET,,37763965,,
31,31,11610,58,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,,09 BRONX,Noise - Residential,2017-11-23T01:53:22.000,BRUCKNER BOULEVARD,WATSON AVENUE,Loud Music/Party,2017-11-23T09:53:22.000,Precinct,1035 BOYNTON AVENUE,10472,,,40.82477572866116,"{u'type': u'Point', u'coordinates': [-73.877342164352, 40.824775728661]}",Residential Building/House,-73.87734216435173,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,BOYNTON AVENUE,,37761872,1018197,239789
32,6,15312,41,3,ADDRESS,NYPD,New York City Police Department,QUEENS,SAINT ALBANS,2017-11-23T02:17:17.000,12 QUEENS,Animal Abuse,2017-11-23T01:52:12.000,116 ROAD,LINDEN BOULEVARD,Neglected,2017-11-23T09:52:12.000,Precinct,116-37 194 STREET,11412,,,40.69359645042197,"{u'type': u'Point', u'coordinates': [-73.758026397792, 40.693596450422]}",Residential Building/House,-73.75802639779211,QUEENS,Unspecified,2017-11-23T02:02:04.000,The Police Department responded to the complaint and took action to fix the condition.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,194 STREET,,37760159,1051351,192065
33,30,13828,42,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,04 BROOKLYN,Noise - Street/Sidewalk,2017-11-23T01:51:36.000,KNICKERBOCKER AVENUE,IRVING AVENUE,Loud Music/Party,2017-11-23T09:51:36.000,Precinct,143 STARR STREET,11237,,,40.70343568768109,"{u'type': u'Point', u'coordinates': [-73.924790771095, 40.703435687681]}",Street/Sidewalk,-73.92479077109456,BROOKLYN,Unspecified,2017-11-23T02:04:06.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,STARR STREET,,37762770,1005103,195566
34,22,11269,59,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,,11 BRONX,Illegal Parking,2017-11-23T01:51:26.000,GARFIELD STREET,UNIONPORT ROAD,Blocked Sidewalk,2017-11-23T09:51:26.000,Precinct,606 BAKER AVENUE,10460,,,40.84162175374208,"{u'type': u'Point', u'coordinates': [-73.866522915499, 40.841621753742]}",Street/Sidewalk,-73.86652291549927,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,BAKER AVENUE,,37762015,1021182,245931
35,48,17615,16,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,08 BROOKLYN,Noise - Residential,2017-11-23T01:49:38.000,TROY AVENUE,SCHENECTADY AVENUE,Loud Television,2017-11-23T09:49:38.000,Precinct,961 EASTERN PARKWAY,11213,,,40.66908074868954,"{u'type': u'Point', u'coordinates': [-73.936144918157, 40.66908074869]}",Residential Building/House,-73.93614491815657,BROOKLYN,Unspecified,2017-11-23T02:19:28.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,EASTERN PARKWAY,,37761187,1001964,183047
36,11,13510,60,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,2017-11-23T02:01:03.000,14 BROOKLYN,Noise - Residential,2017-11-23T01:49:23.000,CHURCH AVENUE,TENNIS COURT,Loud Music/Party,2017-11-23T09:49:23.000,Precinct,550 OCEAN AVENUE,11226,,,40.64939527878987,"{u'type': u'Point', u'coordinates': [-73.960888862581, 40.64939527879]}",Residential Building/House,-73.96088886258141,BROOKLYN,Unspecified,2017-11-23T02:01:03.000,The Police Department responded to the complaint and took action to fix the condition.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,OCEAN AVENUE,,37761867,995103,175871
37,14,10692,30,1,ADDRESS,NYPD,New York City Police Department,STATEN ISLAND,STATEN ISLAND,,02 STATEN ISLAND,Noise - Residential,2017-11-23T01:48:32.000,MALLORY AVENUE,NORWAY AVENUE,Loud Music/Party,2017-11-23T09:48:32.000,Precinct,555 MCCLEAN AVENUE,10305,,,40.59426757108711,"{u'type': u'Point', u'coordinates': [-74.07904348616, 40.594267571087]}",Residential Building/House,-74.07904348615968,STATEN ISLAND,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,MCCLEAN AVENUE,,37762811,962298,155794
